column	table	role	description
migration_status	reference_summary_statistics / reference_parameters	metadata	Hierarchical class used by the first DILS comparison: 'migration' for IM and SC (ongoing gene flow), 'isolation' for AM and SI (no ongoing gene flow).
genomic_migration	reference_summary_statistics / reference_parameters	metadata	Whether migration is homogeneous (1M) or heterogeneous (2M) across the genome. NA for SI because SI has no migration parameter.
genomic_Ne	reference_summary_statistics / reference_parameters	metadata	Whether effective population size is homogeneous (1N) or heterogeneous (2N) across loci.
scenario	reference_summary_statistics / reference_parameters	metadata	Demographic scenario: AM, IM, SC or SI.
model	reference_summary_statistics / reference_parameters	metadata	Complete DILS elementary model, without the batch number, for example SC_2M_1N or SI_2N.
simulation_id	reference_summary_statistics / reference_parameters	metadata	Stable unique identifier built as model, two-digit batch and six-digit row_in_batch, for example SC_2M_1N_04_000001.
batch	reference_summary_statistics / reference_parameters	metadata	Replication number of the DILS simulation directory, an integer from 0 to 4.
row_in_batch	reference_summary_statistics / reference_parameters	metadata	1-based row index of the multilocus simulation inside its batch files. Rows are paired by position across ABCstat.txt, ABCjsfs.txt and priorfile.txt.
SI	concept	biological_class	Strict isolation: an ancestral population splits at Tsplit and the daughter populations never exchange genes afterwards.
AM	concept	biological_class	Ancestral migration: the daughter populations exchange genes after the split, then isolation begins at Tam. There is no ongoing migration, so AM belongs to the isolation class, but 1M/2M still describe ancient migration.
IM	concept	biological_class	Isolation with migration: the daughter populations exchange genes continuously from the split until the present.
SC	concept	biological_class	Secondary contact: the daughter populations first evolve in isolation, then resume gene exchange at Tsc.
1M	concept	biological_class	Homogeneous genomic migration: all loci share the same migration rate in a given direction.
2M	concept	biological_class	Heterogeneous genomic migration under the bimodal barrier model: loci belong to two classes, one migrating at the general rate and one barrier class whose migration rate is zero. Barrier loci can differ between M12 and M21.
1N	concept	biological_class	Homogeneous Ne: all loci share the same effective population size.
2N	concept	biological_class	Heterogeneous Ne: effective size varies among genomic regions, which can capture linked-selection effects that reduce Ne locally.
bialsites_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean number of biallelic sites per locus.
bialsites_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of the number of biallelic sites across loci.
sf_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean fraction of sites that are fixed differences between the two populations.
sf_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of the fraction of fixed differences across loci.
sxA_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean fraction of sites polymorphic only in population A.
sxA_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of A-specific polymorphisms across loci.
sxB_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean fraction of sites polymorphic only in population B.
sxB_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of B-specific polymorphisms across loci.
ss_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean fraction of sites with a polymorphism shared by both populations.
ss_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of shared polymorphisms across loci.
piA_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean pairwise nucleotide diversity (pi) in population A.
piA_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of pi in population A across loci.
piB_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean pairwise nucleotide diversity (pi) in population B.
piB_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of pi in population B across loci.
pearson_r_pi	reference_summary_statistics / observed_summary_statistics	predictor	Pearson correlation of pi between populations A and B across loci.
thetaA_avg	reference_summary_statistics / observed_summary_statistics	predictor	Mean Watterson's theta in population A.
thetaA_std	reference_summary_statistics / observed_summary_statistics	predictor	Standard deviation of Watterson's theta in population A across loci.
